japanese,english,reading
のります,ride / board,norimasu
[でんしゃに~] のります,board [a train],[densha ni~] norimasu
おります,get off,orimasu
[でんしゃを~] おります,get off [a train],[densha o~] orimasu
のりかえます,change / transfer [trains],norikaemasu
あびます,take [a shower],abimasu
[シャワーを~] あびます,take [a shower],[shawā o~] abimasu
いれます,put in / insert,iremasu
だします,take out / hand in / withdraw,dashimasu
おします,push / press,oshimasu
やめます,quit / retire / stop,yamemasu
はいります,enter [university],hairimasu
[だいがくに~] はいります,enter [university],[daigaku ni~] hairimasu
でます,graduate [from university],demasu
[だいがくを~] でます,graduate [from university],[daigaku o~] demasu
わかい,young,wakai
ながい,long,nagai
みじかい,short,mijikai
あかるい,bright,akarui
くらい,dark,kurai
からだ,body / health,karada
あたま,head / brain,atama
かみ,hair,kami
かお,face,kao
め,eye,me
みみ,ear,mimi
は,tooth,ha
おなか,stomach,onaka
あし,leg / foot,ashi
せい,height,sei
[せいが~] たかい,tall [height],[sei ga~] takai
サービス,service,sābisu
ジョギング,jogging,jogingu
シャワー,shower,shawā
みどり,green / greenery,midori
[お]てら,Buddhist temple,[o]tera
じんじゃ,Shinto shrine,jinja
~ばん,~ number,~ban
どうやって,how / in what way,dōyatte
どの~,which ~ (used with 3 or more),dono~
どれ,which one (of 3 or more),dore
すごいですね,That's amazing!,sugoi desu ne
[いいえ、] まだまだです,"[No,] I still have a long way to go.",[iie、] madamadadesu
おひきだしですか,Are you making a withdrawal?,ohikidashi desu ka
まず,first of all,mazu
つぎに,next / next step,tsugi ni
キャッシュカード,cash dispensing card,kyasshukādo
あんしょうばんごう,personal identification number / PIN,anshōbangō
きんがく,amount of money,kingaku
かくにん,confirmation,kakunin
[ボタンを~] おします,press [a button],[botan o~] oshimasu
